,TMS_title,u2_video_title,video_creator,video_length,video_link,png_path,type,bandwidth
1,BGP - What is the border gateway protocol?,What is the border gateway protocol (BGP)?,intenet-class,,https://www.youtube.com/watch?v=_aLmzq-23pE,/images/video/01.png,NetWork,
2,Subnet - 16. How to Find the Number of Subnets Valid Hosts,16. How to Find the Number of Subnets Valid Hosts,System Engineer,8:03,https://www.youtube.com/watch?v=uyRtYUg6bnw,/images/video/02.png,NetWork,
3,DNS - How a DNS Server (Domain Name System) works.,How a DNS Server (Domain Name System) works.,,6:04,https://www.youtube.com/watch?v=mpQZVYPuDGU,/images/video/03.png,NetWork,
4,VLANs - VLANs and Trunks for Beginners - Part 1,VLANs and Trunks for Beginners - Part 1,danscourses,9:08,https://www.youtube.com/watch?v=aBOzFa6ioLw,/images/video/04.png,NetWork,
5,VLANs - VLANs and Trunks for Beginners - Part 2,VLANs and Trunks for Beginners - Part 2,danscourses,8:07,https://www.youtube.com/watch?v=-H20S65OB3E,/images/video/05.png,NetWork,
6,VLANs - VLANs and Trunks for Beginners - Part 3,VLANs and Trunks for Beginners - Part 3,danscourses,,https://www.youtube.com/watch?v=kbLfyjP20Yo,/images/video/06.png,NetWork,
7,VLANs - VLANs and Trunks for Beginners - Part 4,VLANs and Trunks for Beginners - Part 4,danscourses,,https://www.youtube.com/watch?v=8WHr0pLbTKs,/images/video/07.png,NetWork,
8,STP - Spanning Tree Protocol Explained | Step by Step,Spanning Tree Protocol Explained | Step by Step,,20:11,https://www.youtube.com/watch?v=japdEY1UKe4,/images/video/08.png,NetWork,
9,"VLANs - VLANs, and Trunks, and Switches, Oh My!","VLANs, and Trunks, and Switches, Oh My!",,50:55,https://www.youtube.com/watch?v=jHw7OUqcg-g,/images/video/09.png,NetWork,
10,P4 - SAI + P4 demonstration video,SAI + P4 demonstration video,P4 Language Consortium,7:31,https://www.youtube.com/watch?v=WPpsZGX0_r0,/images/video/10.png,SAI,
11,P4 - P4 workshop - 1 Welcome,P4 workshop - 1 Welcome,P4 Language Consortium,18:39,https://www.youtube.com/watch?v=VM9Fl4PM7-M,/images/video/11.png,P4,
12,LACP - Lightboard Series: Link Aggregation Control Protocol (LACP),Lightboard Series: Link Aggregation Control Protocol (LACP),Palo Alto Networks Live Community,10:19,https://www.youtube.com/watch?v=EnqygxhgSoI,/images/video/12.png,NetWork,
13,OCP Summit 2017 - SONiC: Enabling Fast Evolution in the Network,SONiC: Enabling Fast Evolution in the Network,Open Compute Project,30:51,https://www.youtube.com/watch?v=DvFTCpwnUQ4,/images/video/13.png,SONiC,
14,OCP Summit 2017 - SAI: Releasing the Potential of Switch ASIC,SAI: Releasing the Potential of Switch ASIC,Open Compute Project,35:25,https://www.youtube.com/watch?v=7fbDsK2yE2I,/images/video/14.png,SAI,
15,OCP Summit 2019 EW(Engineering Workshop) - Networking: Software - Live Demo of Zero Touch Deployment,OCPSummit19 - EW: Networking: Software - Live Demo of Zero Touch Deployment,Open Compute Project,17:50,https://www.youtube.com/watch?v=KydG11CiaZM,/images/video/15.png,OCP,
