Test Case,Test Name,Topology
TC001,acl,vms-t1
TC001,acl,vms-t1-lag
TC002,arp,ptf1-32
TC002,arp,vms-t1
TC002,arp,vms-t1-lag
TC003,bgp_fact,vms-t0
TC003,bgp_fact,vms-t1
TC003,bgp_fact,vms-t1-lag
TC004,bgp_multipath_relax,vms-t1
TC004,bgp_multipath_relax,vms-t1-lag
TC005,bgp_speaker,vms-t0
TC006,config,vms-t0
TC006,config,vms-t1-lag
TC007,continuous_reboot,vms-t0
TC007,continuous_reboot,vms-t1
TC007,continuous_reboot,vms-t1-lag
TC008,copp,vms-t1
TC008,copp,vms-t1-lag
TC008,copp,ptf1-32
TC009,decap,vms-t0
TC009,decap,vms-t1
TC009,decap,vms-t1-lag
TC010,dhcp_relay,vms-t0
TC011,ecn_wred,vms-t0
TC011,ecn_wred,vms-t1
TC011,ecn_wred,vms-t1-lag
TC012,everflow_testbed,vms-t1
TC012,everflow_testbed,vms-t1-lag
TC013,fast-reboot,vms-t0
TC014,warm-reboot,vms-t0
TC015,warm-reboot-sad,vms-t0
TC016,fib,vms-t0
TC016,fib,vms-t1
TC016,fib,vms-t1-lag
TC017,warm-reboot-fib,vms-t0
TC017,warm-reboot-fib,vms-t1
TC017,warm-reboot-fib,vms-t1-lag
TC018,fdb,vms-t0
TC019,dir_bcast,vms-t0
TC020,lag_2,vms-t0
TC020,lag_2,vms-t1-lag
TC021,lldp,vms-t0
TC021,lldp,vms-t1
TC021,lldp,vms-t1-lag
TC022,link_flap,vms-t0
TC022,link_flap,vms-t1
TC022,link_flap,vms-t1-lag
TC022,link_flap,ptf1-32
TC023,mem_check,vms-t0
TC023,mem_check,vms-t1
TC023,mem_check,vms-t1-lag
TC023,mem_check,ptf1-32
TC024,mtu,vms-t1
TC024,mtu,vms-t1-lag
TC025,neighbour,ptf1-32
TC026,neighbour_mac_noptf,vms-t0
TC026,neighbour_mac_noptf,vms-t1
TC026,neighbour_mac_noptf,vms-t1-lag
TC026,neighbour_mac_noptf,ptf1-32
TC027,ntp,vms-t0
TC027,ntp,vms-t1
TC027,ntp,vms-t1-lag
TC027,ntp,ptf1-32
TC028,pfc_wd,vms-t0
TC028,pfc_wd,vms-t1
TC028,pfc_wd,vms-t1-lag
TC028,pfc_wd,ptf1-32
TC029,port_toggle,vms-t0
TC029,port_toggle,vms-t1
TC029,port_toggle,vms-t1-lag
TC029,port_toggle,ptf1-32
TC030,qos,ptf1-32
TC031,reboot,vms-t0
TC031,reboot,vms-t1
TC031,reboot,vms-t1-lag
TC031,reboot,ptf1-32
TC032,repeat_harness,vms-t0
TC032,repeat_harness,vms-t1
TC032,repeat_harness,vms-t1-lag
TC032,repeat_harness,ptf1-32
TC033,restart_swss,vms-t0
TC033,restart_swss,vms-t1
TC033,restart_swss,vms-t1-lag
TC033,restart_swss,ptf1-32
TC034,restart_swss_service,vms-t0
TC034,restart_swss_service,vms-t1
TC034,restart_swss_service,vms-t1-lag
TC034,restart_swss_service,ptf1-32
TC035,restart_syncd,vms-t0
TC035,restart_syncd,vms-t1
TC035,restart_syncd,vms-t1-lag
TC035,restart_syncd,ptf1-32
TC036,sensors,vms-t0
TC036,sensors,vms-t1
TC036,sensors,vms-t1-lag
TC036,sensors,ptf1-32
TC037,service_acl,vms-t0
TC037,service_acl,vms-t1
TC037,service_acl,vms-t1-lag
TC037,service_acl,ptf1-32
TC038,snmp,vms-t0
TC038,snmp,vms-t1
TC038,snmp,vms-t1-lag
TC038,snmp,ptf1-32
TC039,syslog,vms-t0
TC039,syslog,vms-t1
TC039,syslog,vms-t1-lag
TC039,syslog,ptf1-32
TC040,vlan,vms-t0
TC041,crm,vms-t0
TC041,crm,vms-t1
TC042,dip_sip,vms-t0
TC042,dip_sip,vms-t1
TC042,dip_sip,vms-t1-lag
TC043,vxlan_decap,vms-t0
TC044,vnet_vxlan,vms-t0
TC045,pfc_asym,vms-t0
TC046,iface_mode,vms-t0
TC046,iface_mode,vms-t1
TC046,iface_mode,ptf1-32
